2172402,264,culex picorna-like virus 1
2125980,632,grenada mosquito rhabdovirus 1
2079148,1259,culex pipiens associated tunisia virus
2059675,2490,aedes aegypti anphevirus
2057187,2820,drosophila innubila nudivirus
2053814,3159,anopheles flavivirus
2026603,7676,anopheles annulipes orbivirus
2026602,7677,anopheles hinesorum orbivirus
1963247,15979,menghai flavivirus,VHostDB
1955493,17133,orbivirus sx-2017a,VHostDB
1955199,17172,san bernardo virus,VHostDB
1955196,17175,big cypress virus,VHostDB
1955175,17179,cordoba virus,VHostDB
1938657,18511,hubei qinvirus-like virus 1,VHostDB
1935468,18928,ochlerotatus flavivirus
1933180,19269,anopheles a orthobunyavirus
1933176,19273,anopheles b orthobunyavirus
1930825,19770,tai forest alphavirus,VHostDB
1926501,20426,tapara virus,VHostDB
1926500,20427,ambe virus,VHostDB
1923779,20890,zhejiang mosquito virus 3,VHostDB
1923778,20891,zhejiang mosquito virus 1,VHostDB
1923743,20926,wuhan nido-like virus 1,VHostDB
1923704,20965,wuhan horsefly virus 3,VHostDB
1923700,20969,wuhan fly virus 6
1923699,20970,wuhan fly virus 5,VHostDB
1923698,20971,wuhan fly virus 4,VHostDB
1923664,21005,wenzhou tombus-like virus 11,VHostDB
1923660,21009,wenzhou sobemo-like virus 4,VHostDB
1923659,21010,wenzhou sobemo-like virus 3,VHostDB
1923658,21011,wenzhou sobemo-like virus 2,VHostDB
1923342,21327,hubei virga-like virus 9,VHostDB
1923338,21331,hubei virga-like virus 23,VHostDB
1923336,21333,hubei virga-like virus 21,VHostDB
1923335,21334,hubei virga-like virus 2,VHostDB
1923333,21336,hubei virga-like virus 18,VHostDB
1923327,21342,hubei virga-like virus 12,VHostDB
1923326,21343,hubei virga-like virus 11,VHostDB
1923324,21345,hubei virga-like virus 1,VHostDB
1923307,21362,hubei toti-like virus 19,VHostDB
1923303,21366,hubei toti-like virus 15,VHostDB
1923298,21371,hubei toti-like virus 10,VHostDB
1923290,21379,hubei tombus-like virus 42,VHostDB
1923229,21440,hubei sobemo-like virus 41,VHostDB
1923204,21465,hubei sobemo-like virus 19,VHostDB
1923144,21525,hubei picorna-like virus 61,VHostDB
1923138,21531,hubei picorna-like virus 56,VHostDB
1923119,21550,hubei picorna-like virus 39,VHostDB
1923116,21553,hubei picorna-like virus 36,VHostDB
1923096,21573,hubei picorna-like virus 17,VHostDB
1923095,21574,hubei picorna-like virus 16,VHostDB
1923075,21594,hubei permutotetra-like virus 11,VHostDB
1923073,21596,hubei permutotetra-like virus 1,VHostDB
1922956,21713,hubei narna-like virus 25,VHostDB
1922955,21714,hubei narna-like virus 24,VHostDB
1922947,21722,hubei narna-like virus 17,VHostDB
1922929,21740,hubei mosquito virus 5
1922928,21741,hubei mosquito virus 4,VHostDB
1922927,21742,hubei mosquito virus 3,VHostDB
1922926,21743,hubei mosquito virus 2,VHostDB
1922925,21744,hubei mosquito virus 1,VHostDB
1922889,21780,hubei diptera virus 9,VHostDB
1922888,21781,hubei diptera virus 7
1922887,21782,hubei diptera virus 6
1922886,21783,hubei diptera virus 5,VHostDB
1922885,21784,hubei diptera virus 4,VHostDB
1922884,21785,hubei diptera virus 3,VHostDB
1922883,21786,hubei diptera virus 22,VHostDB
1922882,21787,hubei diptera virus 21
1922881,21788,hubei diptera virus 20
1922880,21789,hubei diptera virus 19
1922879,21790,hubei diptera virus 18,VHostDB
1922878,21791,hubei diptera virus 17,VHostDB
1922877,21792,hubei diptera virus 16,VHostDB
1922876,21793,hubei diptera virus 15,VHostDB
1922874,21795,hubei diptera virus 13,VHostDB
1922873,21796,hubei diptera virus 12,VHostDB
1922872,21797,hubei diptera virus 11,VHostDB
1922871,21798,hubei diptera virus 10,VHostDB
1922870,21799,hubei diptera virus 1,VHostDB
1922866,21803,hubei dimarhabdovirus virus 1,VHostDB
1922832,21837,hubei poty-like virus 1,VHostDB
1916650,23334,centovirus ac,VHostDB
1914448,23828,aedes albopictus densovirus 5
1911442,24249,mosquito dicistrovirus,VHostDB
1911439,24252,corey virus,VHostDB
1911438,24253,bradson virus,VHostDB
1906179,25773,anopheles flavivirus liberia/2013
1903559,25864,anopheles flavivirus-like 2
1903415,25904,anopheles totivirus
1903413,25905,anopheles flavivirus-like 1
1903341,25906,anopheles flavivirus variant 2
1903340,25907,anopheles flavivirus variant 1,VHostDB
1890418,26763,anopheles hyrcanus flavivirus
1870981,28784,culex tritaeniorhynchus totivirus
1867943,28926,wolkberg virus,VHostDB
1821756,33183,mahlapitsi orthoreovirus,VHostDB
1821227,33233,xishuangbanna aedes flavivirus,VHostDB
1821222,33234,culiseta flavivirus,VHostDB
1805494,34140,bamaga virus,VHostDB
1802951,34640,drosophila unispina virus 1
1802949,34641,ceratitis capitata sigmavirus
1802948,34642,drosophila algonquin sigmavirus
1802947,34643,scaptodrosophila deflexa sigmavirus
1802946,34644,drosophila sturtevanti sigmavirus
1802937,34648,drosophila sturtevanti rhabdovirus 1
1802936,34649,drosophila subobscura rhabdovirus
1802935,34650,drosophila busckii rhabdovirus
1769781,37260,anopheles cypovirus
1769780,37261,anopheles c virus,VHostDB
1764086,37646,zerdali virus,VHostDB
1764085,37647,toros virus,VHostDB
1758883,38077,imjin river virus 1,VHostDB
1758882,38078,daeseongdong virus 2,VHostDB
1758881,38079,daeseongdong virus 1,VHostDB
1758878,38080,tongilchon virus 1,VHostDB
1746061,39635,shayang fly virus 4,VHostDB
1746059,39637,gamboa mosquito virus,VHostDB
1708654,43151,parramatta river virus,VHostDB
1708574,43153,mercadeo virus,VHostDB
1692107,44440,fengkai orbivirus,VHostDB
1670671,46040,lutzomyia nodavirus
1670670,46041,lutzomyia reovirus 2
1670669,46042,lutzomyia reovirus 1,VHostDB
1665361,46126,guaico culex virus
1654582,47360,kallithea virus,VHostDB
1620897,50621,sripur virus,VHostDB
1620895,50623,ord river virus,VHostDB
1620893,50624,iriri virus,VHostDB
1620892,50625,inhangapi virus,VHostDB
1611877,52923,adana virus,VHostDB
1611039,52938,mosquito circovirus,VHostDB
1608147,53148,zhee mosquito virus
1608142,53153,xinzhou mosquito virus
1608141,53154,xincheng mosquito virus,VHostDB
1608139,53155,wuhan horsefly virus,VHostDB
1608134,53160,wuhan mosquito virus 9,VHostDB
1608133,53161,wuhan mosquito virus 8,VHostDB
1608132,53162,wuhan mosquito virus 7
1608131,53163,wuhan mosquito virus 6
1608130,53164,wuhan mosquito virus 5
1608129,53165,wuhan mosquito virus 4
1608128,53166,wuhan mosquito virus 3
1608127,53167,wuhan mosquito virus 2,VHostDB
1608126,53168,wuhan mosquito virus 1,VHostDB
1608123,53171,wuhan louse fly virus 9,VHostDB
1608122,53172,wuhan louse fly virus 8
1608121,53173,wuhan louse fly virus 7
1608120,53174,wuhan louse fly virus 6
1608119,53175,wuhan louse fly virus 5,VHostDB
1608118,53176,wuhan louse fly virus 4
1608117,53177,wuhan louse fly virus 3
1608116,53178,wuhan louse fly virus 2
1608115,53179,wuhan louse fly virus 11
1608114,53180,wuhan louse fly virus 10,VHostDB
1608113,53181,wuhan louse fly virus 1
1608105,53189,wuhan house fly virus 2,VHostDB
1608104,53190,wuhan house fly virus 1,VHostDB
1608103,53191,wuhan fly virus 3
1608102,53192,wuhan fly virus 2,VHostDB
1608101,53193,wuhan fly virus 1,VHostDB
1608082,53212,shuangao mosquito virus
1608074,53220,shuangao fly virus 2
1608073,53221,shuangao fly virus 1
1608067,53227,shayang fly virus 3,VHostDB
1608066,53228,shayang fly virus 2,VHostDB
1608065,53229,shayang fly virus 1,VHostDB
1608059,53235,qingnian mosquito virus
1608055,53239,jiujie fly virus
1608054,53240,jingshan fly virus 2
1608053,53241,jingshan fly virus 1
1608052,53242,jiangxia mosquito virus 2
1608051,53243,jiangxia mosquito virus 1
1608050,53244,huangshi humpbacked fly virus
1607696,53294,mosquito densovirus hb-3
1590836,58496,maprik virus,VHostDB
1569258,61352,walkabout creek virus,VHostDB
1567404,61438,fako virus,VHostDB
1566298,61627,paraiso escondido virus,VHostDB
1560351,62311,goutanap virus,VHostDB
1552662,62572,brejeira virus,VHostDB
1552661,62573,santa barbara virus,VHostDB
1546257,62838,tipula oleracea nudivirus,VHostDB
1534468,63837,torres virus,VHostDB
1534467,63838,bainyik virus,VHostDB
1513200,66117,aedes albopictus densovirus 3
1513199,66118,aedes albopictus densovirus 2,VHostDB
1513196,66120,aedes aegypti densovirus 2,VHostDB
1513195,66121,aedes aegypti densovirus 1
1500866,67493,drosophila immigrans nora virus,VHostDB
1500865,67494,drosophila subobscura nora virus,VHostDB
1495866,68048,cat que virus,VHostDB
1489714,68427,tanay virus,VHostDB
1485186,68643,nhumirim virus,VHostDB
1482319,68961,casuarina virus,VHostDB
1479613,69171,puerto almendras virus,VHostDB
1465751,71002,anopheles minimus irodovirus,VHostDB
1457322,72343,arrabida virus,VHostDB
1457165,72346,wallerfield virus,VHostDB
1445557,73386,ilomantsi virus,VHostDB
1427476,75191,cimodo virus,VHostDB
1406344,76944,kibale virus,VHostDB
1406343,76945,tai virus,VHostDB
1406134,76965,murrumbidgee virus,VHostDB
1398939,77475,anopheline-associated c virus,VHostDB
1368616,79346,brazoran virus,VHostDB
1348439,80315,niakha virus,VHostDB
1332248,82304,karang sari virus,VHostDB
1332247,82305,kamphang phet virus,VHostDB
1332246,82306,houston virus,VHostDB
1332245,82307,bontang virus,VHostDB
1308859,86841,drosophila affinis sigmavirus
1302179,87868,palm creek virus,VHostDB
1301280,88058,invertebrate iridovirus 25,VHostDB
1286143,89701,nienokoue virus,VHostDB
1286142,89702,nse virus,VHostDB
1286141,89703,meno virus,VHostDB
1286140,89704,hana virus,VHostDB
1285595,89719,musca hytrovirus
1285594,89720,glossina hytrovirus
1272960,92253,yata virus,VHostDB
1272959,92254,xiburema virus,VHostDB
1272958,92255,sweetwater branch virus,VHostDB
1272949,92261,manitoba virus,VHostDB
1272946,92264,la joya virus,VHostDB
1272943,92267,joinjakaka virus,VHostDB
1272942,92268,gray lodge virus,VHostDB
1272572,92277,penicillidia conspicua rhabdovirus 2
1272571,92278,penicillidia conspicua rhabdovirus 1
1272570,92279,nycteribia schmidlii rhabdovirus 4
1272569,92280,nycteribia schmidlii rhabdovirus 3
1272568,92281,nycteribia schmidlii rhabdovirus 2
1272567,92282,nycteribia schmidlii rhabdovirus 1
1272566,92283,nycteribia kolenatii rhabdovirus 1
1271873,92290,ochlerotatus caspius rhabdovirus 2
1271872,92291,ochlerotatus caspius rhabdovirus 1
1271871,92292,culex pipiens rhabdovirus 2
1271870,92293,culex pipiens rhabdovirus 1
1265748,92801,ngewotan virus,VHostDB
1260294,93451,uranotaenia sapphirina nucleopolyhedrovirus
1260293,93452,aedes sollicitans nucleopolyhedrovirus
1246482,94084,morone saxatilis x chrysops betanodavirus
1244565,94138,ochlerotatus caspius flavivirus,VHostDB
1244564,94139,culex pipiens flavivirus
1244563,94140,culex theileri flavivirus
1238455,94947,dak nong virus,VHostDB
1236047,95138,culex originated tymoviridae-like virus,VHostDB
1231903,95329,eilat virus,VHostDB
1230254,95493,culex y virus
1229186,95756,malakal virus,VHostDB
1170425,102711,piura virus,VHostDB
1170424,102712,negev virus,VHostDB
1170422,102714,loreto virus,VHostDB
1138489,106247,tucunduba virus,VHostDB
1138488,106248,wyeomyia virus strain darien
1138487,106249,wyeomyia virus strain trvl8349
1127767,107487,espirito santo virus,VHostDB
1125677,107572,hanko virus,VHostDB
1105173,108885,marisma mosquito virus
1094373,109591,drosophila melanogaster sigmavirus
1055750,113527,uriurana virus,VHostDB
1048864,114558,flavivirus culex theileri/r901/prt/2010
1048863,114559,flavivirus culex theileri/r899/prt/2010
1048862,114560,flavivirus culex theileri/r522/prt/2009
1048861,114561,flavivirus culex theileri/r265/prt/2008
1048860,114562,flavivirus culex theileri/r245/prt/2008
1048536,114577,culex theileri flavivirus rp-2011
1046551,114677,aedes galloisi flavivirus
1041929,115134,cavally virus,VHostDB
1041529,115235,mediterranean culex flavivirus
1041528,115236,mediterranean ochlerotatus flavivirus
1034806,116036,mosquito vem virus sdrbaj,VHostDB
1034805,116037,mosquito vem virus sdbvl g,VHostDB
1034793,116046,mosquito vem anellovirus sdrb b,VHostDB
1034792,116047,mosquito vem anellovirus sdrb a,VHostDB
1034791,116048,mosquito vem anellovirus sdbvl b,VHostDB
1034790,116049,mosquito vem anellovirus sdbvl a,VHostDB
1006583,117272,aguacate virus,VHostDB
1002362,117762,muscina stabulans sigmavirus
1002361,117763,drosophila tristis sigmavirus
1002360,117764,drosophila immigrans sigmavirus
1002359,117765,drosophila ananassae sigmavirus
985683,119763,donggang virus,VHostDB
948741,121481,drosophila obscura sigmavirus
945962,121617,mosquito densovirus br/07,VHostDB
936308,122205,culex tritaeniorhynchus rhabdovirus,VHostDB
909207,123643,bivens arm virus,VHostDB
698672,137750,moussa virus,VHostDB
694313,138206,chironomus decorus entomopoxvirus
693270,138343,phlebotomus flavivirus alg_f8
693269,138344,phlebotomus flavivirus alg_f19
690897,138693,mosquito nodavirus mnv-1
673515,141769,mosquito flavivirus,VHostDB
673459,141770,drosophila obscura sigmavirus bbl-2009a
671498,142021,drosophila melanogaster sigmavirus u125
671497,142022,drosophila melanogaster sigmavirus dm113
671496,142023,drosophila melanogaster sigmavirus derby
667516,142314,nakiwogo virus,VHostDB
666963,142398,drosophila affinis sigmavirus 10
666962,142399,drosophila obscura sigmavirus 10a,VHostDB
666961,142400,drosophila melanogaster sigmavirus hap23,VHostDB
666363,142459,drosophila melanogaster sigmavirus ap30,VHostDB
663282,143004,drosophila melanogaster totivirus sw-2009a,VHostDB
663281,143005,drosophila melanogaster birnavirus sw-2009a
663280,143006,drosophila melanogaster tetravirus sw-2009a
663279,143007,drosophila melanogaster american nodavirus (anv) sw-2009a
649604,145573,banna virus strain jkt-6423,VHostDB
649187,145615,lammi virus,VHostDB
648330,145640,aedes albopictus densovirus boublik/1994
648170,145677,aedes pseudoscutellaris reovirus isolate france
643132,146554,quang binh virus,VHostDB
642590,146592,culex densovirus 0507js11
631267,147288,chaoyang virus,VHostDB
595895,148364,drosophila a virus,VHostDB
577122,149822,t'ho virus,VHostDB
560250,151567,culicinae flavivirus pomoflav_a95
560249,151568,culicinae flavivirus pomoflav_a91
560248,151569,culicinae flavivirus pomoflav_a163
560247,151570,culicinae flavivirus pomoflav_a155
560246,151571,culicinae flavivirus pomoflav_a153
560245,151572,culicinae flavivirus pomoflav_a136
560244,151573,culicinae flavivirus pomoflav_a128
560243,151574,culicinae flavivirus pomoflav_a126
560242,151575,culicinae flavivirus pomoflav_a103
560241,151576,culex theileri flavivirus pomoflav_a131
559180,151598,stretch lagoon orbivirus,VHostDB
556524,151674,armigeres subalbatus virus sax06-ak20,VHostDB
544571,153045,california mosquito pool virus
523909,155834,musca domestica salivary gland hypertrophy virus,VHostDB
499854,160270,new mapoon virus,VHostDB
490111,161350,itacaiunas virus,VHostDB
487311,161583,anopheles gambiae densovirus,VHostDB
486494,161622,nounane virus,VHostDB
465914,163823,culex pipiens pallens densovirus
427635,168621,culex eumelanomyia virus d24-k18
427634,168622,culex decens virus c23-k33
427633,168623,culex decens virus c23-k18
397545,171753,simulium ubiquitum cypovirus
390845,172060,aedes flavivirus,VHostDB
390844,172061,culex flavivirus,VHostDB
386586,172590,aedes taeniorhynchus iridescent virus,VHostDB
380442,173603,nkolbisson virus,VHostDB
380435,173609,rochambeau virus,VHostDB
380160,173726,obodhiang virus,VHostDB
379529,173770,glossina pallidipes salivary gland hypertrophy virus,VHostDB
363716,174960,nora virus,VHostDB
349066,176153,culex restuans cypovirus
348585,176377,drosophila melanogaster idefix virus
348584,176378,drosophila melanogaster zam virus
345201,176539,invertebrate iridescent virus 3,VHostDB
345198,176541,invertebrate iridescent virus 22,VHostDB
341721,176948,aedes pseudoscutellaris reovirus,VHostDB
340921,176988,kelp fly virus,VHostDB
325676,178213,nam dinh virus,VHostDB
318852,178624,oak-vale virus,VHostDB
318849,178625,fukuoka virus,VHostDB
318845,178627,parry creek virus,VHostDB
318844,178628,tibrogargan virus,VHostDB
318843,178629,almpiwar virus,VHostDB
318836,178632,kotonkan virus,VHostDB
311554,178931,uranotaenia sapphirina cypovirus
306276,179115,yunnan orbivirus,VHostDB
284221,180315,aedes aegypti thai densovirus
279154,180624,haemagogus equinus densovirus
273350,180728,wyeomyia orthobunyavirus
218849,182976,kamiti river virus,VHostDB
200403,183695,mosqueiro virus,VHostDB
200402,183696,kamese virus,VHostDB
200401,183697,hart park virus,VHostDB
194675,183982,aedes albopictus c6/36 cell densovirus
186156,184332,aedes aegypti densovirus
185879,184426,toxorhynchites splendens parvovirus
185638,184437,culex pipiens densovirus,VHostDB
164416,185305,wesselsbron virus,VHostDB
130556,186606,culex nigripalpus nucleopolyhedrovirus,VHostDB
104580,187220,kadipiro virus,VHostDB
97469,187464,alphavirus m1,VHostDB
84272,187668,sindbis-like virus yn87448,VHostDB
64320,188182,zika virus,VHostDB
64318,188184,spondweni virus,VHostDB
64314,188188,potiskum virus,VHostDB
64311,188191,kedougou virus,VHostDB
64290,188212,bagaza virus,VHostDB
64286,188216,usutu virus,VHostDB
64279,188223,drosophila c virus,VHostDB
59563,188511,ilheus virus,VHostDB
59303,188523,sagiyama virus,VHostDB
59302,188524,ndumu virus,VHostDB
59301,188525,mayaro virus,VHostDB
59300,188526,getah virus,VHostDB
48981,188673,drosophila x virus,VHostDB
48542,188678,kyzylagach virus,VHostDB
44158,188857,aura virus,VHostDB
44027,188870,stratford virus,VHostDB
44026,188871,sepik virus,VHostDB
44024,188873,kokobera virus,VHostDB
40061,189006,wallal virus,VHostDB
37124,189208,chikungunya virus,VHostDB
35338,189333,aedes albopictus densovirus
35316,189350,nyando virus,VHostDB
35308,189356,anopheles b virus
35307,189357,anopheles a virus
35304,189360,bunyamwera virus,VHostDB
31699,189566,ockelbo virus,VHostDB
31658,189592,cell fusing agent virus,VHostDB
11588,190499,rift valley fever virus,VHostDB
11577,190506,la crosse virus,VHostDB
11277,190606,vesicular stomatitis indiana virus,VHostDB
11272,190610,chandipura virus,VHostDB
11089,190765,yellow fever virus,VHostDB
11082,190772,west nile virus,VHostDB
11080,190774,saint louis encephalitis virus,VHostDB
11072,190782,japanese encephalitis virus,VHostDB
11070,190784,dengue virus 4,VHostDB
11060,190793,dengue virus 2,VHostDB
11053,190797,dengue virus 1,VHostDB
11039,190809,western equine encephalitis virus,VHostDB
11034,190813,sindbis virus,VHostDB
11033,190814,semliki forest virus,VHostDB
11029,190818,ross river virus,VHostDB
11023,190822,middelburg virus,VHostDB
11021,190824,eastern equine encephalitis virus,VHostDB
10808,190984,aedes densonucleosis virus (strain gkv 002 002)
10490,191210,tipula iridescent virus
10489,191211,simulium sp. iridescent virus
