2108447,897,macrobrachium rosenbergii dicistrovirus 2
2072391,1336,dikerogammarus haemobaphes bi-facies-like virus
2058759,2685,idotea virus iwav278
1608092,53202,wenzhou crab virus 2
1604019,53693,blue king crab herpesvirus 1
1593240,58200,penaeus stylirostris densovirus
1529056,64096,penaeus monodon nudivirus,VHostDB
1513228,66098,penaeus stylirostris penstyldensovirus 2
1513227,66099,penaeus monodon penstyldensovirus 2
1513226,66100,penaeus monodon penstyldensovirus 1
1513225,66101,penaeus stylirostris penstyldensovirus 1
1513224,66102,decapod penstyldensovirus 1,VHostDB
1513209,66109,penaeus merguiensis hepandensovirus
1513208,66110,penaeus monodon hepandensovirus 4,VHostDB
1513207,66111,penaeus monodon hepandensovirus 3
1513206,66112,penaeus monodon hepandensovirus 2
1513205,66113,penaeus chinensis hepandensovirus
1513204,66114,penaeus monodon hepandensovirus 1,VHostDB
1419711,75688,penaeus monodon circovirus vn11,VHostDB
1380894,78903,farfantepenaeus duorarum circovirus,VHostDB
1380891,78904,farfantepenaeus duorarum nodavirus
1328799,82781,trichoniscus panormidensis iridescent virus
1328798,82782,porcellio siculoccidentalis iridescent virus
1328797,82783,armadillidium decorum iridescent virus
1299317,88229,diporeia sp. associated circular virus
1226329,96663,scylla paramamosain reovirus
1217568,97196,macrobrachium nudivirus cn-sl2011
1027947,116982,macrobrachium rosenbergii taihu virus,VHostDB
1001264,117903,callinectes sapidus reovirus
932662,122510,mud crab virus,VHostDB
797418,129259,fenneropenaeus chinensis hepandensovirus,VHostDB
654913,144852,shrimp white spot syndrome virus (isolate tongan)
648171,145676,eriocheir sinensis reovirus isolate 905
458682,164741,scylla serrata reovirus sz-2007
449721,166120,acetes erythraeus iridovirus
433832,167917,hiv-like human cancer virus
430911,168108,penaeus vannamei nodavirus,VHostDB
380624,173595,panulirus argus virus 1
343515,176608,penaeus monodon rna virus
282786,180437,penaeid shrimp infectious myonecrosis virus,VHostDB
273810,180687,eriocheir sinensis reovirus
259389,181439,penaeus monodon nucleopolyhedrovirus
222557,182747,macrobrachium rosenbergii nodavirus,VHostDB
182788,184545,penaeus monodon hepatopancreatic parvovirus
142102,186210,taura syndrome virus,VHostDB
139034,186245,penaeus merguiensis densovirus
137756,186298,porcellio scaber iridescent virus
96491,187483,gill-associated virus,VHostDB
96029,187486,yellow head virus,VHostDB
72201,187944,armadillidium vulgare iridescent virus,VHostDB
46615,188773,penaeus monodon nonoccluded baculovirus iii
