2201043,112,tick phlebovirus anatolia 1
2108205,910,nephila clavipes virus 2
2108204,911,nephila clavipes virus 1
2108203,912,nephila clavipes virus 6
2108202,913,nephila clavipes virus 5
2108201,914,nephila clavipes virus 4
2108200,915,nephila clavipes virus 3
2080262,1140,blacklegged tick associated partitivirus
2080261,1141,blacklegged tick associated ilarvirus
2080260,1142,lonestar tick totivirus
2080259,1143,blacklegged tick picorna-like virus 2
2080258,1144,blacklegged tick picorna-like virus 1
2079613,1148,ixodes scapularis associated virus-6
2079612,1149,ixodes scapularis associated virus-5
2079611,1150,american dog tick associated virus-1
2079610,1151,american dog tick rhabdovirus-2
2079609,1152,lone star tick associated virus-1
2079608,1153,american dog tick associated virus-2
2079607,1154,ixodes scapularis associated virus-4
2079606,1155,dog tick rhabdovirus-1
2079605,1156,blacklegged tick rhabdovirus-1
2079604,1157,blacklegged tick chuvirus-2
2077300,1317,varroa mite associated virus 1
2077299,1318,varroa mite associated genomovirus 1
2059676,2489,centruroides sculpturatus bunyavirus
2056385,2875,varroa destructor virus 3
2056384,2876,varroa destructor virus 2
2027377,7514,lone star tick nodavirus
2027376,7515,lone star tick dicistrovirus
2027355,7516,lone star tick densovirus 1
2020880,8586,tick phlebovirus
2014339,9842,tarumizu tick virus
1983779,13103,tick circovirus
1981097,13643,okutama tick virus 34
1526525,64301,ixodes scapularis associated virus 1
1526523,64302,tick borne tetravirus-like virus
1526522,64303,blacklegged tick phlebovirus 2
1526521,64304,blacklegged tick phlebovirus 1
1526487,64306,deer tick mononegavirales-like virus
1517961,65269,deer tick mononegavirus
1517960,65270,american dog tick phlebovirus
1491393,68387,jingmen tick virus,VHostDB
1459044,72092,long island tick rhabdovirus,VHostDB
1457386,72338,hunter island virus,VHostDB
1456752,72395,kama virus,VHostDB
1428456,74877,kolente virus,VHostDB
1424280,75454,sierra nevada virus,VHostDB
1405807,76966,razdan virus,VHostDB
1219465,97056,lone star virus,VHostDB
1213620,97755,bhanja virus,VHostDB
1172985,102300,mogiana tick virus,VHostDB
1077287,112116,tomato matilda virus
1006354,117295,varroa destructor virus
1005993,117386,varroa destructor macula-like virus
686262,139350,african swine fever virus e75,VHostDB
648168,145679,colorado tick fever virus florio n-7180
644609,146358,midway nyavirus,VHostDB
638787,146953,chimeric tick-borne encephalitis virus/dengue virus 4
443878,166670,african swine fever virus ourt 88/3,VHostDB
443876,166672,african swine fever virus benin 97/1,VHostDB
360394,175174,breda virus serotype 2
360393,175175,breda virus serotype 1
248053,181744,farallon virus,VHostDB
232800,182143,varroa destructor virus 1,VHostDB
204269,183592,great island virus,VHostDB
201466,183676,human enterovirus sp. ex amblyomma americanum
194540,184038,nairobi sheep disease virus,VHostDB
104581,187219,st croix river virus,VHostDB
70733,187998,tick-borne encephalitis virus (strain hypr)
58535,188531,deer tick virus,VHostDB
40067,189002,wad medani virus,VHostDB
40004,189020,tyuleniy virus,VHostDB
39137,189072,tick-borne flavivirus
39008,189097,tick-borne powassan virus (strain lb)
29264,189721,seaborne tick-borne virus group
29263,189722,tick-borne encephalitis virus group
12542,189827,omsk hemorrhagic fever virus,VHostDB
11569,190510,thogoto thogotovirus,VHostDB
11088,190766,tick-borne encephalitis virus (western subtype)
11087,190767,tick-borne encephalitis virus (strain sofjin)
11083,190771,powassan virus,VHostDB
10894,190917,tick and insect-borne orbivirus
10497,191205,african swine fever virus,VHostDB
